ticker,name,sector
AADI.JK,PT Adaro Andalan Indonesia Tbk,Energi
AALI.JK,Astra Agro Lestari Tbk,Barang Konsumen Primer
ABBA.JK,Mahaka Media Tbk,Barang Konsumen Non-Primer
ABDA.JK,PT Asuransi Bina Dana Arta Tbk,Keuangan
ABMM.JK,ABM Investama Tbk,Energi
ACES.JK,PT Aspirasi Hidup Indonesia Tbk,Barang Konsumen Non-Primer
ACRO.JK,PT Samcro Hyosung Adilestari Tbk.,Barang Konsumen Non-Primer
ACST.JK,PT Acset Indonusa Tbk.,Infrastruktur
ADCP.JK,PT Adhi Commuter Properti Tbk,Properti & Real Estat
ADES.JK,Akasha Wira International Tbk  Tbk,Barang Konsumen Primer
ADHI.JK,PT Adhi Karya (Persero) Tbk.,Infrastruktur
ADMF.JK,Adira Dinamika Multi Finance Tbk,Keuangan
ADMG.JK,Polychem Indonesia Tbk,Barang Baku
ADMR.JK,PT Alamtri Minerals Indonesia Tbk,Energi
ADRO.JK,Alamtri Resources Indonesia Tbk,Energi
AEGS.JK,PT Anugerah Spareparts Sejahtera Tbk.,Barang Konsumen Non-Primer
AGAR.JK,PT Asia Sejahtera Mina Tbk,Barang Konsumen Primer
AGII.JK,PT Samator Indo Gas Tbk,Barang Baku
AGRO.JK,PT Bank Raya Indonesia Tbk,Keuangan
AGRS.JK,PT Bank IBK Indonesia Tbk.,Keuangan
AHAP.JK,Asuransi Harta Aman Pratama Tbk,Keuangan
AIMS.JK,PT Artha Mahiya Investama Tbk,Energi
AISA.JK,PT FKS Food Sejahtera Tbk,Barang Konsumen Primer
AKKU.JK,PT Anugerah Kagum Karya Utama Tbk,Barang Konsumen Non-Primer
AKPI.JK,Argha Karya Prima Ind. Tbk,Barang Baku
AKRA.JK,PT AKR Corporindo Tbk.,Energi
AKSI.JK,PT Mineral Sumberdaya Mandiri Tbk,Transportasi & Logistik
ALDO.JK,Alkindo Naratama Tbk,Barang Baku
ALII.JK,PT Ancara Logistics Indonesia Tbk,Energi
ALKA.JK,Alakasa Industrindo Tbk,Barang Baku
ALMI.JK,Alumindo Light Metal Industry Tbk,Barang Baku
ALTO.JK,Tri Banyan Tirta Tbk,Barang Konsumen Primer
AMAG.JK,Asuransi Multi Artha Guna Tbk,Keuangan
AMAN.JK,PT Makmur Berkah Amanda Tbk.,Properti & Real Estat
AMAR.JK,PT Bank Amar Indonesia Tbk.,Keuangan
AMFG.JK,Asahimas Flat Glass Tbk,Perindustrian
AMIN.JK,PT Ateliers Mecaniques D Indonesie Tbk.,Perindustrian
AMMN.JK,PT Amman Mineral Internasional Tbk.,Barang Baku
AMMS.JK,PT Agung Menjangan Mas Tbk,Barang Konsumen Primer
AMOR.JK,PT Ashmore Asset Management Indonesia Tbk.,Keuangan
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.,Barang Konsumen Primer
ANDI.JK,PT Andira Agro Tbk,Barang Konsumen Primer
ANJT.JK,PT Austindo Nusantara Jaya Tbk.,Barang Konsumen Primer
ANTM.JK,Aneka Tambang Tbk.,Barang Baku
APEX.JK,Apexindo Pratama Duta Tbk,Energi
APIC.JK,PACIFIC STRATEGIC FINANCIAL Tbk,Keuangan
APII.JK,PT Arita Prima Indonesia Tbk.,Perindustrian
APLI.JK,Asiaplast Industries Tbk,Barang Baku
APLN.JK,PT Agung Podomoro Land Tbk.,Properti & Real Estat
ARCI.JK,PT Archi Indonesia Tbk,Barang Baku
AREA.JK,PT Dunia Virtual Online Tbk,Teknologi
ARGO.JK,Argo Pantes Tbk,Barang Konsumen Non-Primer
ARII.JK,Atlas Resources Tbk,Energi
ARKA.JK,PT Arkha Jayanti Persada Tbk.,Perindustrian
ARKO.JK,PT Arkora Hydro Tbk.,Infrastruktur
ARMY.JK,PT Armidian Karyatama Tbk,Properti & Real Estat
ARNA.JK,Arwana Citramulia Tbk,Perindustrian
ARTA.JK,Arthavest Tbk,Barang Konsumen Non-Primer
ARTI.JK,Ratu Prabu Energi Tbk,Energi
ARTO.JK,PT Bank Jago Tbk.,Keuangan
ASBI.JK,Asuransi Bintang Tbk,Keuangan
ASDM.JK,Asuransi Dayin Mitra Tbk,Keuangan
ASGR.JK,Astra Graphia Tbk,Perindustrian
ASHA.JK,PT Cilacap Samudera Fishing Industry Tbk,Barang Konsumen Primer
ASII.JK,Astra International Tbk,Perindustrian
ASJT.JK,Asuransi Jasa Tania Tbk,Keuangan
ASLC.JK,PT Autopedia Sukses Lestari Tbk,Barang Konsumen Non-Primer
ASLI.JK,PT Asri Karya Lestari Tbk.,Infrastruktur
ASMI.JK,PT Asuransi Maximus Graha Persada Tbk.,Keuangan
ASPI.JK,PT Andalan Sakti Primaindo Tbk.,Properti & Real Estat
ASPR.JK,PT Asia Pramulia Tbk,Barang Baku
ASRI.JK,ALAM SUTERA REALTY Tbk,Properti & Real Estat
ASRM.JK,Asuransi Ramayana Tbk,Keuangan
ASSA.JK,Adi Sarana Armada Tbk,Transportasi & Logistik
ATAP.JK,PT Trimitra Prawara Goldland Tbk ,Properti & Real Estat
ATIC.JK,PT Anabatic Technologies Tbk,Teknologi
ATLA.JK,PT Atlantis Subsea Indonesia Tbk,Energi
AUTO.JK,Astra Otoparts Tbk,Barang Konsumen Non-Primer
AVIA.JK,PT Avia Avian Tbk,Barang Baku
AWAN.JK,PT Era Digital Media Tbk,Teknologi
AXIO.JK,PT Tera Data Indonusa Tbk,Teknologi
AYAM.JK,PT Janu Putra Sejahtera Tbk.,Barang Konsumen Primer
AYLS.JK,PT Arkayana Lestari Grup Tbk,Barang Baku
BABP.JK,PT Bank MNC Internasional Tbk.,Keuangan
BABY.JK,PT Multitrend Indo Tbk.,Barang Konsumen Non-Primer
BACA.JK,PT Bank Capital Indonesia Tbk,Keuangan
BAIK.JK,PT Bersama Mencapai Puncak Tbk.,Barang Konsumen Non-Primer
BAJA.JK,Saranacentral Bajatama Tbk,Barang Baku
BALI.JK,PT Bali Towerindo Sentra Tbk. ,Infrastruktur
BANK.JK,PT Bank Aladin Syariah Tbk,Keuangan
BAPA.JK,Bekasi Asri Pemula Tbk,Properti & Real Estat
BAPI.JK,PT Bhakti Agung Propertindo Tbk.,Properti & Real Estat
BATA.JK,Sepatu Bata Tbk,Barang Konsumen Non-Primer
BATR.JK,PT Benteng Api Technic Tbk,Barang Baku
BAUT.JK,PT Mitra Angkasa Sejahtera Tbk,Barang Konsumen Non-Primer
BAYU.JK,Bayu Buana Tbk,Barang Konsumen Non-Primer
BBCA.JK,PT Bank Central Asia Tbk.,Keuangan
BBHI.JK,PT Allo Bank Indonesia Tbk,Keuangan
BBKP.JK,PT Bank KB Indonesia Tbk,Keuangan
BBLD.JK,Buana Finance Tbk,Keuangan
BBMD.JK,PT Bank Mestika Dharma Tbk.,Keuangan
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,Keuangan
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,Keuangan
BBRM.JK,Pelayaran Nasional Bina Buana Raya Tbk,Energi
BBSI.JK,PT Krom Bank Indonesia Tbk,Keuangan
BBSS.JK,PT Bumi Benowo Sukses Sejahtera Tbk,Properti & Real Estat
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,Keuangan
BBYB.JK,PT Bank Neo Commerce Tbk.,Keuangan
BCAP.JK,MNC Kapital Indonesia Tbk,Keuangan
BCIC.JK,PT Bank JTrust Indonesia Tbk. ,Keuangan
BCIP.JK,Bumi Citra Permai Tbk,Properti & Real Estat
BDKR.JK,PT Berdikari Pondasi Perkasa Tbk.,Infrastruktur
BDMN.JK,PT Bank Danamon Indonesia Tbk,Keuangan
BEBS.JK,PT Berkah Beton Sadaya Tbk,Barang Baku
BEEF.JK,PT Estika Tata Tiara Tbk.,Barang Konsumen Primer
BEER.JK,PT Jobubu Jarum Minahasa Tbk,Barang Konsumen Primer
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,Keuangan
BELI.JK,PT Global Digital Niaga Tbk,Teknologi
BELL.JK,PT Trisula Textile Industries Tbk,Barang Konsumen Non-Primer
BESS.JK,PT Batulicin Nusantara Maritim Tbk.,Energi
BEST.JK,Bekasi Fajar Industrial Estate Tbk,Properti & Real Estat
BFIN.JK,BFI Finance Indonesia Tbk,Keuangan
BGTG.JK,PT Bank Ganesha Tbk.,Keuangan
BHAT.JK,PT Bhakti Multi Artha Tbk.,Keuangan
BHIT.JK,PT MNC Asia Holding Tbk,Perindustrian
BIKA.JK,PT Binakarya Jaya Abadi Tbk.,Properti & Real Estat
BIKE.JK,PT Sepeda Bersama Indonesia Tbk,Barang Konsumen Non-Primer
BIMA.JK,Primarindo Asia Infrastructure Tbk,Barang Konsumen Non-Primer
BINA.JK,PT Bank Ina Perdana Tbk.,Keuangan
BINO.JK,PT Perma Plasindo Tbk ,Perindustrian
BIPI.JK,PT Astrindo Nusantara Infrastruktur Tbk.,Energi
BIPP.JK,Bhuwanatala Indah Permai Tbk,Properti & Real Estat
BIRD.JK,PT Blue Bird Tbk,Transportasi & Logistik
BISI.JK,BISI INTERNATIONAL Tbk,Barang Konsumen Primer
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Keuangan
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk,Keuangan
BKDP.JK,Bukit Darmo Property Tbk,Properti & Real Estat
BKSL.JK,Sentul City Tbk,Properti & Real Estat
BKSW.JK,PT Bank QNB Indonesia Tbk,Keuangan
BLES.JK,PT Superior Prima Sukses Tbk,Barang Baku
BLOG.JK,PT Trimitra Trans Persada Tbk,Transportasi & Logistik
BLTA.JK,Berlian Laju Tanker Tbk,Transportasi & Logistik
BLTZ.JK,PT Graha Layar Prima Tbk.,Barang Konsumen Non-Primer
BLUE.JK,PT Berkah Prima Perkasa Tbk,Perindustrian
BMAS.JK,PT Bank Maspion Indonesia Tbk.,Keuangan
BMBL.JK,PT Lavender Bina Cendikia Tbk,Barang Konsumen Non-Primer
BMHS.JK,PT Bundamedik Tbk,Kesehatan
BMRI.JK,PT Bank Mandiri (Persero) Tbk,Keuangan
BMSR.JK,Bintang Mitra Semestaraya Tbk,Barang Baku
BMTR.JK,PT Global Mediacom Tbk,Barang Konsumen Non-Primer
BNBA.JK,Bank Bumi Arta Tbk,Keuangan
BNBR.JK,Bakrie & Brothers Tbk,Perindustrian
BNGA.JK,PT Bank CIMB Niaga Tbk,Keuangan
BNII.JK,PT Bank Maybank Indonesia Tbk,Keuangan
BNLI.JK,Bank Permata Tbk,Keuangan
BOAT.JK,PT Newport Marine Services Tbk,Energi
BOBA.JK,PT Formosa Ingredient Factory Tbk,Barang Konsumen Primer
BOGA.JK,PT Apollo Global Interactive Tbk,Barang Konsumen Non-Primer
BOLA.JK,PT Bali Bintang Sejahtera Tbk.,Barang Konsumen Non-Primer
BOLT.JK,PT Garuda Metalindo Tbk.,Barang Konsumen Non-Primer
BOSS.JK,PT Borneo Olah Sarana Sukses Tbk.,Energi
BPFI.JK,PT Woori Finance Indonesia Tbk,Keuangan
BPII.JK,PT Batavia Prosperindo Internasional Tbk.,Keuangan
BPTR.JK,PT Batavia Prosperindo Trans Tbk.,Transportasi & Logistik
BRAM.JK,Indo Kordsa Tbk,Barang Konsumen Non-Primer
BREN.JK,PT Barito Renewables Energy Tbk.,Infrastruktur
BRIS.JK,PT Bank Syariah Indonesia (Persero) Tbk,Keuangan
BRMS.JK,Bumi Resources Minerals Tbk,Barang Baku
BRNA.JK,Berlina Tbk,Barang Baku
BRPT.JK,Barito Pacific Tbk,Barang Baku
BRRC.JK,PT Raja Roti Cemerlang Tbk,Barang Konsumen Primer
BSBK.JK,PT Wulandari Bangun Laksana Tbk,Properti & Real Estat
BSDE.JK,PT Bumi Serpong Damai Tbk,Properti & Real Estat
BSIM.JK,Bank Sinarmas Tbk,Keuangan
BSML.JK,PT Bintang Samudera Mandiri Lines Tbk,Energi
BSSR.JK,Baramulti Suksessarana Tbk,Energi
BSWD.JK,Bank of India Indonesia Tbk,Keuangan
BTEK.JK,Bumi Teknokultura Unggul Tbk,Barang Konsumen Primer
BTEL.JK,Bakrie Telecom Tbk,Infrastruktur
BTON.JK,Betonjaya Manunggal Tbk,Barang Baku
BTPN.JK,PT Bank SMBC Indonesia Tbk,Keuangan
BTPS.JK,PT Bank BTPN Syariah Tbk.,Keuangan
BUAH.JK,PT Segar Kumala Indonesia Tbk,Barang Konsumen Primer
BUDI.JK,PT Budi Starch & Sweetener Tbk.,Barang Konsumen Primer
BUKA.JK,PT Bukalapak.com Tbk,Teknologi
BUKK.JK,Bukaka Teknik Utama Tbk,Infrastruktur
BULL.JK,PT Buana Lintas Lautan Tbk.,Energi
BUMI.JK,Bumi Resources Tbk,Energi
BUVA.JK,PT Bukit Uluwatu Villa Tbk,Barang Konsumen Non-Primer
BVIC.JK,Bank Victoria International Tbk,Keuangan
BWPT.JK,Eagle High Plantations Tbk,Barang Konsumen Primer
BYAN.JK,Bayan Resources Tbk,Energi
CAKK.JK,PT Cahayaputra Asa Keramik Tbk.,Perindustrian
CAMP.JK,PT Campina Ice Cream Industry Tbk.,Barang Konsumen Primer
CANI.JK,PT Capitol Nusantara Indonesia Tbk.,Energi
CARE.JK,PT Metro Healthcare Indonesia Tbk,Kesehatan
CARS.JK,PT Industri dan Perdagangan Bintraco Dharma Tbk,Barang Konsumen Non-Primer
CASA.JK,PT Capital Financial Indonesia Tbk,Keuangan
CASH.JK,PT Cashlez Worldwide Indonesia Tbk.,Teknologi
CASS.JK,Cahaya Aero Services Tbk,Infrastruktur
CBDK.JK,PT Bangun Kosambi Sukses Tbk,Properti & Real Estat
CBMF.JK,PT Cahaya Bintang Medan Tbk,Barang Konsumen Non-Primer
CBPE.JK,PT Citra Buana Prasida Tbk,Properti & Real Estat
CBRE.JK,PT Cakra Buana Resources Energi Tbk,Energi
CBUT.JK,PT Citra Borneo Utama Tbk,Barang Konsumen Primer
CCSI.JK,PT Communication Cable Systems Indonesia Tbk.,Perindustrian
CDIA.JK,PT Chandra Daya Investasi Tbk,Infrastruktur
CEKA.JK,PT Wilmar Cahaya Indonesia Tbk.,Barang Konsumen Primer
CENT.JK,PT Centratama Telekomunikasi Indonesia Tbk.,Infrastruktur
CFIN.JK,Clipan Finance Indonesia Tbk,Keuangan
CGAS.JK,PT Citra Nusantara Gemilang Tbk.,Energi
CHEK.JK,PT Diastika Biotekindo Tbk,Kesehatan
CHEM.JK,PT Chemstar Indonesia Tbk,Barang Baku
CHIP.JK,PT Pelita Teknologi Global Tbk,Teknologi
CINT.JK,PT Chitose Internasional Tbk,Barang Konsumen Non-Primer
CITA.JK,Cita Mineral Investindo Tbk,Barang Baku
CITY.JK,PT Natura City Developments Tbk.,Properti & Real Estat
CLAY.JK,PT Citra Putra Realty Tbk,Barang Konsumen Non-Primer
CLEO.JK,PT Sariguna Primatirta Tbk,Barang Konsumen Primer
CLPI.JK,Colorpak Indonesia Tbk,Barang Baku
CMNP.JK,Citra Marga Nusaphala Persada Tbk,Infrastruktur
CMNT.JK,PT Cemindo Gemilang Tbk,Barang Baku
CMPP.JK,PT AirAsia Indonesia Tbk,Transportasi & Logistik
CMRY.JK,PT Cisarua Mountain Dairy Tbk,Barang Konsumen Primer
CNKO.JK,Exploitasi Energi Indonesia Tbk,Energi
CNMA.JK,PT Nusantara Sejahtera Raya Tbk,Barang Konsumen Non-Primer
CNTX.JK,PT Century Textile Industry Tbk,Barang Konsumen Non-Primer
COAL.JK,PT Black Diamond Resources Tbk,Energi
COCO.JK,PT Wahana Interfood Nusantara Tbk.,Barang Konsumen Primer
COIN.JK,PT Indokripto Koin Semesta Tbk,Keuangan
COWL.JK,COWELL DEVELOPMENT Tbk,Properti & Real Estat
CPIN.JK,Charoen Pokphand Indonesia Tbk,Barang Konsumen Primer
CPRI.JK,PT Capri Nusa Satu Properti Tbk.,Properti & Real Estat
CPRO.JK,Central Proteina Prima Tbk,Barang Konsumen Primer
CRAB.JK,PT Toba Surimi Industries Tbk,Barang Konsumen Primer
CRSN.JK,PT Carsurin Tbk,Perindustrian
CSAP.JK,Catur Sentosa Adiprana Tbk,Barang Konsumen Non-Primer
CSIS.JK,PT Cahayasakti Investindo Sukses Tbk,Properti & Real Estat
CSMI.JK,PT Cipta Selera Murni Tbk.,Barang Konsumen Non-Primer
CSRA.JK,PT Cisadane Sawit Raya Tbk.,Barang Konsumen Primer
CTBN.JK,Citra Tubindo Tbk,Barang Baku
CTRA.JK,Ciputra Development Tbk,Properti & Real Estat
CTTH.JK,Citatah Tbk,Perindustrian
CUAN.JK,PT Petrindo Jaya Kreasi Tbk,Energi
CYBR.JK,PT ITSEC Asia Tbk.,Teknologi
DAAZ.JK,PT Daaz Bara Lestari Tbk,Barang Baku
DADA.JK,PT Diamond Citra Propertindo Tbk.,Properti & Real Estat
DART.JK,Duta Anggada Realty Tbk,Properti & Real Estat
DATA.JK,PT Remala Abadi Tbk,Infrastruktur
DAYA.JK,PT Duta Intidaya Tbk.,Barang Konsumen Primer
DCII.JK,PT DCI Indonesia Tbk,Teknologi
DEAL.JK,PT Dewata Freightinternational Tbk.,Transportasi & Logistik
DEFI.JK,Danasupra Erapacific Tbk,Keuangan
DEPO.JK,PT Caturkarda Depo Bangunan Tbk,Barang Konsumen Non-Primer
DEWA.JK,Darma Henwa Tbk,Energi
DEWI.JK,PT Dewi Shri Farmindo Tbk,Barang Konsumen Primer
DFAM.JK,PT Dafam Property Indonesia Tbk,Barang Konsumen Non-Primer
DGIK.JK,Nusa Konstruksi Enjiniring  Tbk,Infrastruktur
DGNS.JK,PT Diagnos Laboratorium Utama Tbk,Kesehatan
DGWG.JK,PT Delta Giri Wacana Tbk,Barang Baku
DIGI.JK,PT Arkadia Digital Media Tbk,Barang Konsumen Non-Primer
DILD.JK,Intiland Development Tbk,Properti & Real Estat
DIVA.JK,PT Distribusi Voucher Nusantara Tbk,Teknologi
DKFT.JK,Central Omega Resources Tbk,Barang Baku
DKHH.JK,PT Cipta Sarana Medika Tbk,Kesehatan
DLTA.JK,Delta Djakarta Tbk,Barang Konsumen Primer
DMAS.JK,PT Puradelta Lestari Tbk.,Properti & Real Estat
DMMX.JK,PT Digital Mediatama Maxima Tbk,Teknologi
DMND.JK,PT Diamond Food Indonesia Tbk.,Barang Konsumen Primer
DNAR.JK,PT Bank Oke Indonesia Tbk.,Keuangan
DNET.JK,PT Indoritel Makmur Internasional Tbk.,Keuangan
DOID.JK,PT BUMA Internasional Grup Tbk,Energi
DOOH.JK,PT Era Media Sejahtera Tbk,Barang Konsumen Non-Primer
DOSS.JK,PT Global Sukses Digital Tbk,Barang Konsumen Non-Primer
DPNS.JK,Duta Pertiwi Nusantara Tbk,Barang Baku
DPUM.JK,PT Dua Putra Utama Makmur Tbk.,Barang Konsumen Primer
DRMA.JK,PT Dharma Polimetal Tbk,Barang Konsumen Non-Primer
DSFI.JK,Dharma Samudera Fishing Ind. Tbk,Barang Konsumen Primer
DSNG.JK,PT Dharma Satya Nusantara Tbk.,Barang Konsumen Primer
DSSA.JK,Dian Swastatika Sentosa Tbk,Energi
DUCK.JK,PT Jaya Bersama Indo Tbk.,Barang Konsumen Non-Primer
DUTI.JK,Duta Pertiwi Tbk,Properti & Real Estat
DVLA.JK,Darya-Varia Laboratoria Tbk,Kesehatan
DWGL.JK,PT Dwi Guna Laksana Tbk,Energi
DYAN.JK,PT Dyandra Media International Tbk.,Perindustrian
EAST.JK,PT Eastparc Hotel Tbk,Barang Konsumen Non-Primer
ECII.JK,PT Electronic City Indonesia Tbk.,Barang Konsumen Non-Primer
EDGE.JK,PT Indointernet Tbk.,Teknologi
EKAD.JK,Ekadharma International Tbk,Barang Baku
ELIT.JK,PT Data Sinergitama Jaya Tbk,Teknologi
ELPI.JK,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Transportasi & Logistik
ELSA.JK,Elnusa Tbk,Energi
ELTY.JK,Bakrieland Development Tbk,Properti & Real Estat
EMAS.JK,PT Merdeka Gold Resources Tbk,Barang Baku
EMDE.JK,Megapolitan Developments Tbk,Properti & Real Estat
EMTK.JK,Elang Mahkota Teknologi Tbk,Teknologi
ENAK.JK,PT Champ Resto Indonesia Tbk,Barang Konsumen Non-Primer
ENRG.JK,Energi Mega Persada Tbk,Energi
ENVY.JK,PT Envy Technologies Indonesia Tbk,Teknologi
ENZO.JK,PT Morenzo Abadi Perkasa Tbk,Barang Konsumen Primer
EPAC.JK,PT Megalestari Epack Sentosaraya Tbk.,Barang Baku
EPMT.JK,Enseval Putera Megatrading Tbk,Barang Konsumen Primer
ERAA.JK,Erajaya Swasembada Tbk,Barang Konsumen Non-Primer
ERAL.JK,PT Sinar Eka Selaras Tbk,Barang Konsumen Non-Primer
ERTX.JK,Eratex Djaja Tbk,Barang Konsumen Non-Primer
ESIP.JK,PT Sinergi Inti Plastindo Tbk.,Barang Baku
ESSA.JK,ESSA Industries Indonesia Tbk,Barang Baku
ESTA.JK,PT Esta Multi Usaha Tbk.,Barang Konsumen Non-Primer
ESTI.JK,Ever Shine Textile Industry Tbk,Barang Konsumen Non-Primer
ETWA.JK,Eterindo Wahanatama Tbk,Barang Baku
EURO.JK,PT Estee Gold Feet Tbk,Barang Konsumen Primer
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk,Infrastruktur
FAPA.JK,PT FAP Agri Tbk,Barang Konsumen Primer
FAST.JK,PT Fast Food Indonesia Tbk,Barang Konsumen Non-Primer
FASW.JK,Fajar Surya Wisesa Tbk,Barang Baku
FILM.JK,PT MD Entertainment Tbk,Barang Konsumen Non-Primer
FIMP.JK,PT Fimperkasa Utama Tbk,Infrastruktur
FIRE.JK,PT Alfa Energi Investama Tbk.,Energi
FISH.JK,FKS Multi Agro Tbk,Barang Konsumen Primer
FITT.JK,PT Hotel Fitra International Tbk,Barang Konsumen Non-Primer
FLMC.JK,PT Falmaco Nonwoven Industri Tbk,Barang Konsumen Primer
